dataset,accuracy_mean,accuracy_standard_deviation,time_training_seconds,time_test_seconds
Adiac,0.7890025575447571,0.0062907283254469825,1.7523940847,1.6720688565000008
ArrowHead,0.8165714285714285,0.00649018096662889,0.2835025973000015,1.1150573938999997
Beef,0.8366666666666667,0.009999999999999998,0.5132426335000012,0.5026309655999995
BeetleFly,0.9,0.0,0.36664249360000123,0.3593249226999973
BirdChicken,0.9,0.0,0.36595793059999976,0.35920990689999854
Car,0.8866666666666667,0.012472191289246475,0.9387515604999962,0.9380386095000006
CBF,1.0,0.0,0.17955960310000024,2.8576683170000012
ChlorineConcentration,0.8028124999999999,0.023632521950693285,2.121998807300005,16.8242017494
CinCECGTorso,0.8313768115942028,0.005354969503432556,1.5835889321999956,58.42718339890002
Coffee,1.0,0.0,0.2618035183999723,0.25193120860002405
Computers,0.7636000000000001,0.0068000000000000066,4.211165680200009,4.1900910071
CricketX,0.8174358974358974,0.004259807109188741,2.8899306699999783,2.779117313900065
CricketY,0.8512820512820513,0.003626188621469462,2.897001545300077,2.792655644399929
CricketZ,0.8574358974358975,0.005869499047312634,2.885445256799926,2.78992119049999
DiatomSizeReduction,0.9722222222222221,0.003935161627056292,0.13071964629998545,2.440273913900046
DistalPhalanxOutlineCorrect,0.7786231884057971,0.011043297575455193,1.4249128328000096,0.5994002756999407
DistalPhalanxOutlineAgeGroup,0.7546762589928057,0.007511011876914085,0.9290432493999788,0.31123551289999796
DistalPhalanxTW,0.7158273381294964,0.005800185430430617,0.9275239748999639,0.309778455899982
Earthquakes,0.7482014388489209,0.0,3.854862362699987,1.7142798701999937
ECG200,0.905,0.0050000000000000044,0.2811772661999612,0.26376939650001535
ECG5000,0.9473777777777779,0.0005239922721134159,1.8206057155000508,15.218150937400013
ECGFiveDays,1.0,0.0,0.18448926659998507,2.8139136714000186
ElectricDevices,0.7307742186486836,0.002324942588929484,129.90334590930004,19.974566283799934
FaceAll,0.9459171597633136,0.0030310647277788545,2.0265697457999976,5.59678083889994
FaceFour,0.9761363636363635,0.003409090909090906,0.20659895449998655,0.7253158865999922
FacesUCR,0.9619512195121953,0.0011543570308487066,0.7255279103002067,7.1802912106999885
FiftyWords,0.8305494505494504,0.00505494505494508,3.27546544120014,3.2649555155000596
Fish,0.9765714285714286,0.012108354343095486,2.120845468499829,2.0814847891999304
FordA,0.9432575757575756,0.0026341422198050963,52.034947032799984,15.970813090899947
FordB,0.8001234567901235,0.004074074074074068,50.52554877080024,9.276284229699831
GunPoint,1.0,0.0,0.20689465859986741,0.5900816453997323
Ham,0.7152380952380952,0.013093073414159512,1.2365533607995531,1.0290344867998102
HandOutlines,0.9427027027027026,0.002648097019225051,65.45040065059993,23.780825402499705
Haptics,0.525,0.004826645697181331,4.066875825199986,7.937552334999873
Herring,0.69375,0.014320549046736998,0.7522496367998429,0.7442416398999739
InlineSkate,0.46054545454545454,0.007320298959708149,4.767724526999973,24.370273689400165
InsectWingbeatSound,0.6567171717171718,0.0019304560458198393,1.3831853324001713,11.7530767276
ItalyPowerDemand,0.9691933916423713,0.0004453426331346934,0.08938409149977815,1.0312851931002116
LargeKitchenAppliances,0.8997333333333334,0.005491002741859727,6.525187072200061,6.487571439400108
Lightning2,0.7639344262295082,0.008031113910764527,1.0289649225001993,1.0941684244999124
Lightning7,0.826027397260274,0.010698972158776245,0.653091036999831,0.5340918406000128
Mallat,0.9562899786780384,0.001480303194687413,1.7982336378998298,55.0137852461
Meat,0.9416666666666667,0.015365907428821456,0.7466157500003646,0.7365461876999689
MedicalImages,0.7975000000000001,0.0034032939885204287,1.088480107399937,1.962397421499827
MiddlePhalanxOutlineCorrect,0.8405498281786941,0.005991613668097154,1.5399317609003447,0.6800626240999919
MiddlePhalanxOutlineAgeGroup,0.596103896103896,0.010787823198594915,0.9964941295998869,0.3574600576999728
MiddlePhalanxTW,0.5564935064935065,0.0029756985032180537,1.0860620467000444,0.3774031390002165
MoteStrain,0.9136581469648564,0.0012603621276405296,0.10036033699980179,3.2811979813002834
NonInvasiveFetalECGThorax1,0.9521119592875318,0.002864828080414781,38.876643060599605,40.1501021211001
NonInvasiveFetalECGThorax2,0.9695165394402036,0.001855239301125507,38.48669872949968,39.9668951867
OliveOil,0.9200000000000002,0.016329931618554516,0.6743844085995079,0.6675784306004062
OSULeaf,0.9404958677685951,0.005291838212754403,2.334111900800235,2.853425028499987
PhalangesOutlinesCorrect,0.8346153846153846,0.004874247940868643,6.215255815500131,2.1486037693997786
Phoneme,0.2811708860759493,0.0022183270933347162,6.358339443199474,51.93277489820011
Plane,1.0,0.0,0.45179977229945506,0.4301524602999052
ProximalPhalanxOutlineCorrect,0.8975945017182131,0.0059122510426409805,1.6768106678993717,0.7262592179989952
ProximalPhalanxOutlineAgeGroup,0.8546341463414635,0.0019512195121951237,1.0910314443997777,0.5331581299004029
ProximalPhalanxTW,0.8126829268292683,0.0062469504755442015,1.0786496855998848,0.5265427923997776
RefrigerationDevices,0.5378666666666667,0.006855978737163962,7.668850386499798,7.68762669350017
ScreenType,0.4818666666666667,0.00843695574376339,7.649797085100181,7.556540410499839
ShapeletSim,1.0,0.0,0.43622554229950766,2.4849488380006735
ShapesAll,0.9091666666666667,0.001863389981249838,8.533553136600132,8.25560285449992
SmallKitchenAppliances,0.8157333333333334,0.004207929023482529,7.644940434500131,7.531535621400326
SonyAIBORobotSurface1,0.922628951747088,0.0021373099132554274,0.09073792810013402,1.3423601582000628
SonyAIBORobotSurface2,0.9141657922350472,0.002846728219569905,0.09190387830039981,2.0386746755997596
StarLightCurves,0.9807552209810588,0.0004924550701960351,29.407684585399693,237.89025083269988
Strawberry,0.9805405405405405,0.0020225175063642896,4.64158995910002,2.558679287400446
SwedishLeaf,0.9651200000000001,0.00245796663931796,1.8976001329003338,2.133511543699933
Symbols,0.9740703517587939,0.0008761605916664901,0.26086590650011204,9.143889046899858
SyntheticControl,0.9976666666666667,0.001527525231651931,0.5822131281003748,0.52008564259977
ToeSegmentation1,0.9697368421052632,0.0036432560802272373,0.26001860529941045,1.511029029200654
ToeSegmentation2,0.926923076923077,0.007091957274840676,0.3858358170999054,1.037262171400289
Trace,1.0,0.0,0.7167520149998381,0.6956945547999567
TwoLeadECG,0.9991220368744512,0.0,0.12293691769973521,2.399416508500508
TwoPatterns,1.0,0.0,3.5737863225002005,12.475390741599767
UWaveGestureLibraryX,0.8553322166387494,0.0011765107485039183,6.898221886800092,26.027594269400105
UWaveGestureLibraryY,0.773646007816862,0.0017997500235942372,6.842219958200258,25.948526522300018
UWaveGestureLibraryZ,0.790284757118928,0.0019333656832139538,6.9046643949002835,26.267276284000218
UWaveGestureLibraryAll,0.9757118927973198,0.0005583472920156485,20.05184702040042,79.27582115259975
Wafer,0.9983127839065542,0.0003569110966904679,4.154153598899574,22.969510800499847
Wine,0.7962962962962963,0.03098740839015093,0.32488156590006834,0.3960173028999634
WordSynonyms,0.755485893416928,0.003774794538806368,1.817774047199782,4.178136163499221
Worms,0.7324675324675326,0.008614609845078964,4.0983413048998045,1.895467847499276
WormsTwoClass,0.7987012987012987,0.006493506493506496,4.076125136299742,1.889862396200624
Yoga,0.9098666666666666,0.0031347514521356573,3.1378370460997758,29.786016497199853
